Fecha,Título,Lugar,Descripción,Enlace,Imagen,Hora,Modalidad
19/04/2026,Podcast - La revolución del Amor Epis 8,online Youtube y Spotifive,"La RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era https://rosasalquimicas.netlify.app/",https://youtube.com/live/Dqy4l0H9TQs,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
26/04/2026,Podcast La RE Evolucion del Amor Epis 9,online Youtube y Spotifive,"La RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era https://rosasalquimicas.netlify.app/",,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM Argentina,Online
03/05/2026,Podcast La RE Evolucion del Amor Epis 10,,"a RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",https://youtube.com/live/P4WfQ7jWtP4,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM Argentina,Online
04/05/2026,Sesion Movimiento conciente y Practica Danza de conexion,Online (grabado),,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFIjDuDOSMosf-iYwzfH753CXkNOz6-HDLkQ&s,11 AM Argentina,
05/05/2026,Labor planetaria Canto Sagrados CApilla del Monte,,"Hoy estamos en conexion con esta Ciudad intraterrena de Erks y todo su despliegue recibimos el llamdo de conextar con la Rosa y la freuenica arco iri que venimso despertando y ahora esta pidiendo mas presentcia desde la Inocencia borrando cualquier parte de los personajes antiguos tambien al caminar la Tierra , Todos invitados",,https://i.ibb.co/73bKRGt/IMG-20221124-WA0129.jpg,11 am Argentina,Presencial y online
06/05/2026,Sesion En vivo Con la Familia Arco iris,En vivo,"Cada Miercoles  nos encontramos en la Comunidad de la  Academia Arco iris  Sesiones en  vivo.  Donde Carla Propone temas a desarrollar, compartimos experiencias, meditamos, hacemos ejercicios conscientes y seguimos aprendiendo juntos.  Además, participar de las sesiones  en vivo te da la posibilidad de: Hacer preguntas y que Carla las responda allí mismo. Ser coucheado Acompañado  por Carla y los seres de luz que nos acompañan a todos! Compartir tus experiencias. Guiar una meditación.  Para ser parte de estas CLASES EXCLUSIVAS debes ser MIEMBRO DE LA Academia Frecuencia Arco iris Membresia para la nueva Era",https://rosasalquimicas.netlify.app/frecuencia-arcoiris,https://i.ibb.co/RGSpwF1D/photo-5127547982394887315-y.jpg,6 pm Argentina,Online
08/05/2026,Encuentros de Cantos sagrados,Online,Encuentro online de cantos sagrados y alabanzas en unión.,,https://i.ibb.co/p8c512m/f838d9-25fe111b594646cfa5d993316b791278-mv2.webp,11 am Argentina on line,
09/05/2026,Canto y Danza en Rezo Unidos,Online,"Noss reuiremos a Elevar un canto y una Danza en practica conciente, Meditamos unidos con todas las herramientas y vamos a experimentar la nueva forma de meditar y rezar en unidad  Actividad de nuestra Academia y comunidad",,https://i.ibb.co/0RXpGBms/photo-5125296182581201820-y.jpg,11 AM Argentina,Online
10/05/2026,Podcast La RE Evolucion del Amor Epis. 11,En vivo por youtube y spotifile,"a RE Evolucion del Amor Potcast- este 10 de mayo Estaremos compartiendo con TAtiana Romero una hermana pleyadina Amiga de este santurrio .  Este es un espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",https://www.youtube.com/watch?v=6TPs0tiDDzo,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11 AM Argentina,On line Youtube
16/05/2026,Master class Viaje Avalon 2026,on line youtube instagram,"Bienvenidos a esta master class donde te contae el motivo de este Viaje que no es turimo , hace mas de 9 añs que vamos y de diferentes manera Es un lugar de iniciacion de tu propio ser Un lugar que te invita a despertr tu Ser origen volver recordarte y tomar esos dones para poder activarls hoy como mujer divina Como nueva Sacerdotisa al servicio del Amor DAnza Canto y Arte Para activar el Ser trino En este amino Cristico .",https://www.youtube.com/watch?v=h2zWV8Lo-xw,https://i.ibb.co/C3xTWt8Z/image.png,11:00 Am Argentina Online,Online
17/05/2026,Podcast La RE Evolucion del Amor Epis. 12,En vivo por youtube y spotifile,"RE Evolucion del Amor Potcast- este 10 de mayo Estaremos compartiendo con TAtiana Romero una hermana pleyadina Amiga de este santurrio .  Este es un espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",https://www.youtube.com/watch?v=fy4J58fSJQI,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM Argentina,Online
20/05/2026,Sesion En vivo Con la Familia Arco iris,En vivo,"Cada Miercoles  nos encontramos en la Comunidad de la  Academia Arco iris  Sesiones en  vivo.  Donde Carla Propone temas a desarrollar, compartimos experiencias, meditamos, hacemos ejercicios conscientes y seguimos aprendiendo juntos.  Además, participar de las sesiones  en vivo te da la posibilidad de: Hacer preguntas y que Carla las responda allí mismo. Ser coucheado Acompañado  por Carla y los seres de luz que nos acompañan a todos! Compartir tus experiencias. Guiar una meditación.  Para ser parte de estas CLASES EXCLUSIVAS debes ser MIEMBRO DE LA Academia Frecuencia Arco iris Membresia para la nueva Era",https://rosasalquimicas.netlify.app/frecuencia-arcoiris,https://i.ibb.co/RGSpwF1D/photo-5127547982394887315-y.jpg,6 pm Argentina,Online
22/05/2026,RECORDARTE curso Gratuito dia 1,Online,"Recordarte es un curso grqutito para todas las mujeres que deciden volver a escucharse MASTER CLASS  GRATUIA para mujeres, altamente sensibles , terapeutas, yoguis y  acompañantes holisticos que desean una transformacion integrando la Multidimensionalidad utilizando el arte y la practica de la Coniencia cuantica a traves de Frecuencia de  Rosas , 
Cultivar tu magnetismo Sintonizar a tu proposito para poder compartir tus dones ....",https://rosasalquimicas.wixsite.com/rosasalquimicas-2,https://i.ibb.co/xt3dcsJL/photo-5174783719183682599-y.jpg,11 am Argentina,Online
23/05/2026,RECORDARTE curso Gratuito dia 2,Online,"Recordarte es un curso grqutito para todas las mujeres que deciden volver a escucharse MASTER CLASS  GRATUIA para mujeres, altamente sensibles , terapeutas, yoguis y  acompañantes holisticos que desean una transformacion integrando la Multidimensionalidad utilizando el arte y la practica de la Coniencia cuantica a traves de Frecuencia de  Rosas , 
Cultivar tu magnetismo Sintonizar a tu proposito para poder compartir tus dones ....",https://rosasalquimicas.wixsite.com/rosasalquimicas-2,https://i.ibb.co/xt3dcsJL/photo-5174783719183682599-y.jpg,11 am Argentina,Online
24/05/2026,RECORDARTE curso Gratuito dia 3,Online,"Recordarte es un curso grqutito para todas las mujeres que deciden volver a escucharse MASTER CLASS  GRATUIA para mujeres, altamente sensibles , terapeutas, yoguis y  acompañantes holisticos que desean una transformacion integrando la Multidimensionalidad utilizando el arte y la practica de la Coniencia cuantica a traves de Frecuencia de  Rosas , 
Cultivar tu magnetismo Sintonizar a tu proposito para poder compartir tus dones ....",https://rosasalquimicas.wixsite.com/rosasalquimicas-2,https://i.ibb.co/xt3dcsJL/photo-5174783719183682599-y.jpg,11 am Argentina,Online
14/06/2026,Podcast La RE Evolucion del Amor Epis. 15,,", La RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era https://rosasalquimicas.netlify.app/  Aqio te dejo la lista de todos los encuentros",https://www.youtube.com/watch?v=zPMZdnYGHzU,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
21/06/2026,Podcast La RE Evolucion del Amor Epis. 16,,"La RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era https://rosasalquimicas.netlify.app/  Aqio te dejo la lista de todos los encuentros",,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM Argentina,Online
14/08/2026,Retiro Frecuencia de las Marias en Ascensión,Capilla del Monte Erks,Retiro presencial en Capilla del Monte (Erks). Un espacio para conectar con la frecuencia de las Marías en ascensión.,,https://i.ibb.co/ZpXzsH8Y/Whats-App-Image-2026-07-11-at-9-16-26-AM.jpg,,Presencial
